section,indice,categorie,phase,journée,date/heure,date_confirmee,domicile,extérieur,score,gymnase,ville,lien,adresse_complete
Entente Est Lyonnais (G),Rés.,M15,P1,4,10 octobre 2026 au 11 octobre 2026,False,M15M EXC - ENTENTE EST LYONNAIS - RESERVE,VILLEURBANNE HANDBALL ASSOCIATION,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-reserves-aura-30505/poule-190254/rencontre-2652962/,
Entente Est Lyonnais (G),Rés.,M15,P1,5,17 octobre 2026 au 18 octobre 2026,False,UODL HANDBALL,M15M EXC - ENTENTE EST LYONNAIS - RESERVE,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-reserves-aura-30505/poule-190254/rencontre-2652965/,
Entente Est Lyonnais (G),Rés.,M15,P1,6,7 novembre 2026 au 8 novembre 2026,False,M15M EXC - ENTENTE EST LYONNAIS - RESERVE,M15M EXC - ENTENTE NORD ISERE (RESERVE),,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-reserves-aura-30505/poule-190254/rencontre-2652966/,
Entente Est Lyonnais (G),Rés.,M15,P1,7,14 novembre 2026 au 15 novembre 2026,False,ST GENIS LAVAL AL HANDBALL -15 reserve,M15M EXC - ENTENTE EST LYONNAIS - RESERVE,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-reserves-aura-30505/poule-190254/rencontre-2652969/,
Entente Est Lyonnais (G),Rés.,M15,P1,9,28 novembre 2026 au 29 novembre 2026,False,VILLEURBANNE HANDBALL ASSOCIATION,M15M EXC - ENTENTE EST LYONNAIS - RESERVE,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-reserves-aura-30505/poule-190254/rencontre-2652977/,
Entente Est Lyonnais (G),Rés.,M15,P1,10,5 décembre 2026 au 5 décembre 2026,False,M15M EXC - ENTENTE EST LYONNAIS - RESERVE,UODL HANDBALL,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-reserves-aura-30505/poule-190254/rencontre-2652980/,
Entente Est Lyonnais (G),,M17,P1,1,12 septembre 2026 au 13 septembre 2026,False,M17M EXC - ENTENTE NORD ISERE,M17M EXC - ENTENTE EST LYONNAIS,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m17-ans-masculin-excellence-aura-30503/poule-190250/rencontre-2652531/,
Entente Est Lyonnais (G),,M17,P1,2,19 septembre 2026 au 20 septembre 2026,False,M17M EXC - ENTENTE EST LYONNAIS,ST GENIS LAVAL AL HANDBALL -17 m aura,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m17-ans-masculin-excellence-aura-30503/poule-190250/rencontre-2652534/,
Entente Est Lyonnais (G),,M17,P1,4,10 octobre 2026 au 11 octobre 2026,False,M17M EXC - ENTENTE EST LYONNAIS,M17M EXC - LYON METROPOLE,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m17-ans-masculin-excellence-aura-30503/poule-190250/rencontre-2652542/,
Entente Est Lyonnais (G),,M17,P1,5,17 octobre 2026 au 18 octobre 2026,False,UODL HANDBALL,M17M EXC - ENTENTE EST LYONNAIS,,,,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m17-ans-masculin-excellence-aura-30503/poule-190250/rencontre-2652545/,
